Full Library Name,Library Name,Branch Name,Full Address,Address,City,County,State,Zip Code,Type of Library,Mailing Address,Mailing City,Mailing County,Mailing State,Mailing Zip Code,Phone Number,FAX Number,Email Address,Website,Library System Membership,Director's First Name,Director's Last Name,Director's Phone Number,Director's Email,New Georeferenced Column,2010 House Districts,2010 Senate Districts,Counties
Southern Wasco County Library,Southern Wasco County Library,,410 Deschutes Ave Maupin OR 97037,410 Deschutes Ave,Maupin,Wasco,OR,97037,Public,PO Box 328 Maupin OR 97037,Maupin,,OR,97037,(541) 395-2208,,southernwascolibrary@gmail.com,http://wascocountylibrary.com/,WCLSD,Bronte,Dod,(541) 395-2208,southernwascolibrary@gmail.com,POINT (-121.080502 45.17542),59,30,2451
Deschutes Public Library System - East Bend Library,Deschutes Public Library System,East Bend Library,62080 Dean Swift Road Bend OR 97701,62080 Dean Swift Road,Bend,Deschutes,OR,97701,Public,62080 Dean Swift Road Bend OR 97701,Bend,Deschutes,OR,97701,(541) 330-3760,,,http://www.deschuteslibrary.org/eastbend/,NONE,Todd,Dunkelberg,(541) 312-1021,toddd@dpls.us,POINT (-121.271204 44.054358),54,27,2362
McMinnville Public Library,McMinnville Public Library,,225 NW Adams St McMinnville OR 97128,225 NW Adams St,McMinnville,Yamhill,OR,97128,Public,225 NW Adams St McMinnville OR 97128,McMinnville,,OR,97128,(503) 435-5555,,libref@mcminnvilleoregon.gov,http://www.maclibrary.org,CCRLS,Jenny,Berg,(503) 435.5550,Jenny.Berg@mcminnvilleoregon.gov,POINT (-123.199131 45.209385),24,12,2453
Jackson County Library Services - Phoenix Branch Library,Jackson County Library Services,Phoenix Branch Library,510 W 1st St Phoenix OR 97535,510 W 1st St,Phoenix,Jackson,OR,97535,Public,PO Box 277 Phoenix  97535,Phoenix,Jackson,,97535,(541) 535-7090,(541) 535-7090,info@jcls.org,http://www.jcls.org,NONE,Jody,Fleming,(541) 535-7090,jfleming@jcls.org,POINT (-122.819462 42.27156),5,3,2367
Cedar Mill Community Library,Cedar Mill Community Library,,12505 NW Cornell Rd Suite 13 Portland  OR 97229,12505 NW Cornell Rd Suite 13,Portland,Washington,OR,97229,Public,12505 NW Cornell Rd Suite 13 Portland OR 97229,Portland,,OR,97229,(503) 644-0043,(503) 644-3964,cedarmill@wccls.org,http://library.cedarmill.org/,WCCLS,Peter,Leonard,(503) 644-0043 ext 110,peterl@wccls.org,POINT (-122.80546099999998 45.525705),33,17,724
Wallowa Public Library,Wallowa Public Library,,201 East 1st St Wallowa OR 97885,201 East 1st St,Wallowa,Wallowa,OR,97885,Public,PO Box 486 Wallowa  OR 97885,Wallowa,,OR,97885,(541) 886-4265,541-886-4565,wallowapubliclibrary@gmail.com,http://galepages.com/wallowa,NONE,Debbie,Lind,(541) 886-4265,wallowapubliclibrary@gmail.com,POINT (-117.527758 45.570181),58,29,2450
Chemeketa Cooperative Regional Library Service,Chemeketa Cooperative Regional Library Service,,4000 Lancaster Dr NE Salem OR 97305,4000 Lancaster Dr NE,Salem,Marion,OR,97305,Public,PO Box 14007 Salem OR 97309,Salem,,OR,97309,(503) 399-5165,(503) 399-7316,jgoodyear@ccrls.org,http://www.ccrls.org,CCRLS,John,Goodyear,(503) 315-4584,jgoodyear@ccrls.org,POINT (-122.98339199999998 44.976331),22,11,2409
Clatsop County Law Library,Clatsop County Law Library,,749 Commercial St Astoria OR 97103,749 Commercial St,Astoria,Clatsop,OR,97103,Special,749 Commercial St PO Box 910 Astoria OR 97103,Astoria,Clatsop,OR,97103,(503) 325-8601,,cscheick@co.clatsop.or.us,,,Janet,Evans,,,POINT (-123.835192 46.189098),32,16,
Driftwood Public Library,Driftwood Public Library,,801 SW Hwy 101 Lincoln City OR 97367,801 SW Hwy 101,Lincoln City,Lincoln,OR,97367,Public,801 SW Hwy 101 #201 Lincoln City OR 97367,Lincoln City,,OR,97367,(541) 996-2277,,librarian@driftwoodlib.org,http://www.driftwoodlib.org,LCLD,Kirsten,Brodbeck-Kenney,(541) 996-1251,kbrodbeck-kenney@lincolncity.org,POINT (-124.014782 44.961023),10,5,2372
West Linn Public Library,West Linn Public Library,,1595 Burns St West Linn OR 97068,1595 Burns St,West Linn,Clackamas,OR,97068,Public,1595 Burns St West Linn OR 97068,West Linn,,OR,97068,(503) 656-7853,(503) 742-8632,wlref@lincc.org,http://westlinnoregon.gov/library/,LINCC,Doug,Erickson,(503) 742-6165,derickson@westlinnoregon.gov,POINT (-122.613807 45.367345),37,19,2317
Wilsonville Public Library,Wilsonville Public Library,,8200 SW Wilsonville Rd  Wilsonville OR 97070,8200 SW Wilsonville Rd,Wilsonville,Clackamas,OR,97070,Public,8200 SW Wilsonville Rd  Wilsonville OR 97070,Wilsonville,,OR,97070,(503) 682-2744,(503) 682-8685,reference@wilsonvillelibrary.org,http://www.wilsonvillelibrary.org,LINCC,Patrick,Duke,(503) 570-1590,duke@wilsonvillelibrary.org,POINT (-122.760939 45.302907),26,13,2317
Portland State University Library - Branford P. Millar Library,Portland State University Library,Branford P. Millar Library,1875 SW Park Avenue Portland OR 97201,1875 SW Park Avenue,Portland,Multnomah,OR,97201,Academic,PO Box 1151 Portland  97207-1151,Portland,,,97207-1151,503-725-5874,503-725-4524,,https://library.pdx.edu/,,Tom,Bielavitz,503-725-4616,bielavit@pdx.edu,POINT (-122.68568400000001 45.511326),36,18,2410
Pendleton Public Library,Pendleton Public Library,,502 SW Dorion Ave Pendleton OR 97801,502 SW Dorion Ave,Pendleton,Umatilla,OR,97801,Public,502 SW Dorion Ave Pendleton OR 97801,Pendleton,,OR,97801,(541) 966-0380,(541) 966-0382,jennifer.costley@ci.pendleton.or.us,http://www.pendletonlibrary.weebly.com,UCSLD,Jennifer,Costley,(541) 966-0380,jennifer.costley@ci.pendleton.or.us,POINT (-118.791573 45.670235),58,29,2413
Echo Public Library,Echo Public Library,,20 S. Bonanza Echo OR 97826,20 S. Bonanza,Echo,Umatilla,OR,97826,Public,PO Box 9 Echo OR 97826,Echo,,OR,97826,(541) 376-8411,(541) 376-8218,ecpl@centurytel.net,http://www.echo-oregon.com,UCSLD,David,Slaght,(541) 376-8411,dave@centurytel.net,POINT (-119.195059 45.741821),58,29,2413
Independence Public Library,Independence Public Library,,175 Monmouth St Independence OR 97351,175 Monmouth St,Independence,Polk,OR,97351,Public,175 Monmouth St Independence OR 97351,Independence,,OR,97351,(503) 838-1811,(503) 838-4486,robinp@ccrls.org,http://www.ci.independence.or.us/library,CCRLS,Robin,Puccetti,(503) 838-1811 ext 204,robinp@ccrls.org,POINT (-123.18569900000001 44.851123),20,10,723
Salem Public Library,Salem Public Library,,585 Liberty St SE Salem OR 97301,585 Liberty St SE,Salem,Marion,OR,97301,Public,585 Liberty St SE Salem OR 97301,Salem,Marion,OR,97301,(503) 588-6315,(503) 589-2011,library@cityofsalem.net,http://www.salemlibrary.org,CCRLS,Sarah,Strahl,(503) 588-6084,sstrahl@cityofsalem.net,POINT (-123.041201 44.935281),21,11,2409
Willamette University - Mark O. Hatfield Library,Willamette University,Mark O. Hatfield Library,900 State St. Salem OR 97301-3930,900 State St.,Salem,Marion,OR,97301-3930,Academic,900 State St. Salem  97301-3930,Salem,,,97301-3930,503-370-6312,503-370-6141,,http://library.willamette.edu/,,Craig,Milberg,503-370-6312,cmilberg@willamette.edu,POINT (-123.029549 44.937624),21,11,2409
Pacific University Library,Pacific University Library,,2043 College Way Forest Grove OR 97116-1797,2043 College Way,Forest Grove,Washington,OR,97116-1797,Academic,,,,,,503-352-2204,503-352-1416,,http://www.lib.pacificu.edu/,,Isaac,Gilman,503-352-1401,gilmani@pacificu.edu,POINT (-123.11102199999999 45.521418),29,15,724
Klamath Community College - Learning Resource Center,Klamath Community College,Learning Resource Center,7390 S 6th St Klamath Falls OR 97603,7390 S 6th St,Klamath Falls,Klamath,OR,97603,Academic,,,,,,541-880-2206,541-885-7758,,https://www.klamathcc.edu/Academics/LRC,,Rick,Ball,541-880-2256,ballr@klamathcc.edu,POINT (-121.700743 42.197776),56,28,2369
Jackson County Library Services Business Office,Jackson County Library Services Business Office,,205 South Central Ave. Medford OR 97501,205 South Central Ave.,Medford,Jackson,OR,97501,Public,OR,,,OR,,(541) 774-8679,(541) 774-6748,info.@jcls.org,http://www.jcls.org,,Kari,May,(541) 774-6401,kmay@jcls.org,POINT (-122.870293 42.324522),6,3,2367
Lewis And Clark College - Paul L. Boley Law Library,Lewis And Clark College,Paul L. Boley Law Library,10015 SW Terwilliger Blvd Portland OR 97219-7799,10015 SW Terwilliger Blvd,Portland,Multnomah,OR,97219-7799,Academic,10015 SW Terwilliger Blvd. Portland  97219,Portland,Multnomah,,97219,503-768-6676,503-768-6671,lawlib@lclark.edu,http://library.lclark.edu/law?group_id=11380,,Rob,Truman,503-768-6780,rtruman@lclark.edu,POINT (-122.67973800000001 45.45288),38,19,2410
Stayton Public Library,Stayton Public Library,,515 N First Ave Stayton OR 97383,515 N First Ave,Stayton,Marion,OR,97383,Public,515 N First Ave Stayton OR 97383,Stayton,,OR,97383,(503) 769-3313,(503) 769-3218,staytonpl@ccrls.org,http://staytonlibrary.org/,CCRLS,Janna,Moser,(503) 769-3313 ext 101,jannam@ccrls.org,POINT (-122.794371 44.799125000000004),17,9,2409
Oregon Health & Science University,Oregon Health & Science University,,3181 SW Sam Jackson Park Rd - LIB Portland OR 97239-3098,3181 SW Sam Jackson Park Rd - LIB,Portland,Multnomah,OR,97239-3098,Academic,3181 SW Sam Jackson Park Rd - LIB Portland  97239-3098,Portland,Multnomah,,97239-3098,503-494-3462,503-494-3322,library@ohsu.edu,http://www.ohsu.edu/library,,Kristine,Alpi,503-494-0455,alpi@ohsu.edu,POINT (-122.68797400000001 45.499201),36,18,2410
Multnomah University - John & Mary Mitchell Library,Multnomah University,John & Mary Mitchell Library,8435 NE Glisan St Portland OR 97220-5898,8435 NE Glisan St,Portland,,OR,97220-5898,Academic,,,,,,503-251-5322,503-254-1268,,http://www.multnomah.edu/resources/campus-resources/mitchell-library/http://www.multnomah.edu,,Dr. Philip,Johnson,503-251-5323,pjohnson@multnomah.edu,POINT (-122.575939 45.526401),45,23,2410
Jefferson Public Library,Jefferson Public Library,,150 N 2nd Suite B Jefferson OR 97352,150 N 2nd Suite B,Jefferson,Marion,OR,97352,Public,PO Box 1068 Jefferson OR 97352,Jefferson,,OR,97352,(541) 327-3826,(541) 327-3120,jeffpl@ccrls.org,http://jefferson.ccrls.org/,CCRLS,Dillon,Peck,(541) 327-3826,dillon.peck@ccrls.org,POINT (-123.01022400000001 44.717906),23,12,2409
Enterprise Public Library,Enterprise Public Library,,101 NE First St Enterprise OR 97828,101 NE First St,Enterprise,Wallowa,OR,97828,Public,101 NE First St Enterprise OR 97828,Enterprise,,OR,97828,(541) 426-3906,(541) 426-3395,enterpl@eoni.com,http://www.enterpriseoregon.org,NONE,Denine,Rautenstrauch,(541) 426-3906,enterpl@eoni.com,POINT (-117.27630500000001 45.425804),58,29,2450
Multnomah County Library - Capitol Hill Library,Multnomah County Library,Capitol Hill Library,10723 SW Capitol Hwy Portland OR 97219,10723 SW Capitol Hwy,Portland,Multnomah County,OR,97219,Public,,,,,,503.988.5123,,,,NONE,Patti,Vincent,503.988.6996,pattiv@multcolib.org,POINT (-122.72501500000001 45.447853),38,19,2410
National Railway Historical Society Library - Pacific Northwest Chapter,National Railway Historical Society Library,Pacific Northwest Chapter,503 NW Irving St Portland OR 97209-3715,503 NW Irving St,Portland,Multnomah,OR,97209-3715,Special,"800 NW 6th Ave, Room 1 Portland OR 97209-3715",Portland,Multnomah,OR,97209-3715,(503) 226-6747,(503) 230-0572,library@pnwc-nrhs.org,http://www.pnwc-nrhs.org/library_main.html,,Ken,Vanice,(503) 226-6747,library@pnwc-nrhs.org,POINT (-122.675572 45.52807),36,18,2410
Tillamook County Library - Manzanita Branch Library,Tillamook County Library,Manzanita Branch Library,571 Laneda Manzanita OR 97130,571 Laneda,Manzanita,Tillamook County,OR,97130,Public,,,,,,503-368-6665,,,,NONE,Charlotte,Forster,,,POINT (-123.93162699999999 45.71921),32,16,2412
Lane Library District,Lane Library District,,64 W. Oregon Ave. Creswell OR 97426,64 W. Oregon Ave.,Creswell,Lane,OR,97426,Public,PO Box  366 Creswell OR 97426,Creswell,Lane,OR,97426,(541) 895-3053,(541) 895-3507,service.desk@creswell-library.org,http://www.creswell-library.org,NONE,Su,Liudahl,(541) 895-3053,director.su@creswell-library.org,POINT (-123.019651 43.91785),11,6,2371
Jackson County Library Services - Applegate Branch Library,Jackson County Library Services,Applegate Branch Library,18485 North Applegate Road Applegate OR 97527-9459,18485 North Applegate Road,Applegate,Jackson,OR,97527-9459,Public,,,,,,(541) 846-7346,(541) 846-7346,info@jcls.org,http://www.jcls.org,NONE,Christine,Grubb,(541) 846-7346,cgrubb@jcls.org,POINT (-123.176513 42.25802600000001),5,3,2367
Dora Public Library,Dora Public Library,,56125 Goldbrick Rd Myrtle Point OR 97458,56125 Goldbrick Rd,Myrtle Point,Coos,OR,97458,Public,56125 Goldbrick Rd Myrtle Point OR 97458,Myrtle Point,Coos,OR,97458,(541) 572-6009,(541) 572-3084,dorapublic@gmail.com,https://dorapubliclibrary.org/,CCLSD,Betty,Vaughn,541-572-6009,bvaughn@coastlinelibrarynetwork.org,POINT (-123.95013 43.144584),1,1,2320
Birthingway College of Midwifery,Birthingway College of Midwifery,,12113 SE Foster Rd Portland OR 97266,12113 SE Foster Rd,Portland,Multnomah,OR,97266,Academic,12113 SE Foster Rd Portland OR 97266,Portland,Multnomah,OR,97266,(503) 477-7427,(503)760-3131,library@birthingway.edu,http://birthingway.edu/library/,,Nora,Barnett,(503) 477-7427,nora@birthingway.edu,POINT (-122.53840699999999 45.476522),48,24,2410
Flora M. Laird Memorial Library,Flora M. Laird Memorial Library,,435 5th St Myrtle Point   OR 97458,435 5th St,Myrtle Point,Coos,OR,97458,Public,435 5th St Myrtle Point OR 97458,Myrtle Point,,OR,97458,(541) 572-2591,(541) 572-5168,myrtlepointlibrary@gmail.com,,CCLSD,Shanna,Allen,(541) 572-2591,sallen@coastlinelibrarynetwork.org,POINT (-124.142125 43.063877),1,1,2320
Happy Valley Library,Happy Valley Library,,13793 SE Sieben Park Way Happy Valley OR 97015,13793 SE Sieben Park Way,Happy Valley,Clackamas,OR,97015,Public,13793 SE Sieben Park Way Happy Valley OR 97015,Happy Valley,,OR,97015,503 -783-3456,,library@happyvalleyor.gov,http://www.happyvalleyor.gov/index.aspx?nid=346,LINCC,Doris,Grolbert,(503) 783-3461,dorisg@happyvalleyor.gov,POINT (-122.51371299999998 45.42195100000001),51,26,2317
Jackson County Library Services - Gold Hill Branch Library,Jackson County Library Services,Gold Hill Branch Library,202 Dardanelles Street Gold Hill OR 97525,202 Dardanelles Street,Gold Hill,Jackson,OR,97525,Public,PO Box 258 Gold Hill  97525,Gold Hill,Jackson,,97525,(541) 855-1994,(541) 855-1994,info@jcls.org,http://www.jcls.org,NONE,Lorna,Hilke,(541) 855-1994,lhilke@jcls.org,POINT (-123.048847 42.431456000000004),4,2,2367
Walla Walla University - Portland Campus Library,Walla Walla University,Portland Campus Library,10345 SE Market Portland OR 97216-2998,10345 SE Market,Portland,,OR,97216-2998,Academic,,,,,,503-251-6115 X 17306,503-251-6249,,https://www.wallawalla.edu/academics/libraries/portland-library/,,,,,,POINT (-122.55646399999999 45.510636000000005),46,23,2410
Dallas Public Library,Dallas Public Library,,950 Main St Dallas OR 97338,950 Main St,Dallas,Polk,OR,97338,Public,950 Main St Dallas OR 97338,Dallas,,OR,97338,(503) 623-2633,(503) 623-7357,dalref@ccrls.org,http://www.ci.dallas.or.us/library,CCRLS,Mark,Greenhalgh-Johnson,(503) 831-3545,mark.johnson@dallasor.gov,POINT (-123.31666600000001 44.91999800000001),23,12,723
Ontario Community Library,Ontario Community Library,,388 SW 2nd Ave Ontario   OR 97914,388 SW 2nd Ave,Ontario,Malheur,OR,97914,Public,388 SW 2nd Ave Ontario OR 97914,Ontario,,OR,97914,(541) 889-6371,(541) 889-4279,malheurlibrarystaff@yahoo.com,http://www.ontariocommunitylibrary.org/,NONE,Darlyne,Johnson,(541) 889-6371 ext 102,ontariolibrarydirector@gmail.com,POINT (-116.968141 44.025617),60,30,2408
Rainier City Library,Rainier City Library,,106 B St Rainier OR 97048,106 B St,Rainier,Columbia,OR,97048,Public,PO Box 100 Rainier OR 97048,Rainier,,OR,97048,(503) 556-7301,(503) 556-3200,,http://www.cityofrainier.com/?view=library,NONE,Elizabeth,Mendez,(503) 556-7301,elizabeth_mendez@rsd.k12.or.us,POINT (-122.936023 46.089156),31,16,2319
Baker County Public Library - Haines Branch Library,Baker County Public Library,Haines Branch Library,818 Cole St. Haines OR 97833,818 Cole St.,Haines,Baker,OR,97833,Public,,,,,,(541) 856-3309,,haines@bakerlib.org,,NONE,,,,,POINT (-117.93790600000001 44.912859),60,30,2315
University Of Oregon - Mathematics Library,University Of Oregon,Mathematics Library,1021 East 13th Ave Eugene OR 97403-3914,1021 East 13th Ave,Eugene,Lane County,OR,97403-3914,Academic,,,,,,541-346-3023,,,,,,,,,POINT (-123.068223 44.045523),11,6,2371
Hood River County Library District - Parkdale Branch Library,Hood River County Library District,Parkdale Branch Library,7300 Clear Creek Road Parkdale OR 97041,7300 Clear Creek Road,Parkdale,Hood River County,OR,97041,Public,502 State St Hood River  97031,Hood River,Hood River,,97031,541-352-6502,,info@hoodriverlibrary.org,http://www.hoodriverlibrary.org/,NONE,,,,,POINT (-121.59704400000001 45.518732),52,26,2366
Oregon Trail Library District - OTLD Irrigon Branch,Oregon Trail Library District,OTLD Irrigon Branch,490 NE Main Street Irrigon OR 97844,490 NE Main Street,Irrigon,Morrow,OR,97844,Public,PO Box 9 Irrigon  97844,Irrigon,Morrow,,97844,(541)922-0138,(541)922-6300,lhauner@otld.org,http://oregontrail.ploud.net/,NONE,Kathy,Street,541-481-3365,kstreet@otld.org,POINT (-119.49533200000002 45.895802),57,29,722
Helix Public Library,Helix Public Library,,119 Columbia St Helix OR 97835,119 Columbia St,Helix,Umatilla,OR,97835,Public,PO Box 324 Helix OR 97835,Helix,Umatilla,OR,97835,(541) 457-6130,(541) 457-6130,helixlibrary@helixtel.com,http://helixlibrary.weebly.com,UCSLD,Annette,Kubishta,(541) 457-6130,helixlibrary@helixtel.com,POINT (-118.65765399999998 45.849623),58,29,2413
Lake County Library District,Lake County Library District,,26 S. G St. Lakeview OR 97630,26 S. G St.,Lakeview,Lake,OR,97630,Public,26 S. G St. Lakeview OR 97630,Lakeview,,OR,97630,(541) 947-6019,(541) 947-2346,info@lakecountylibrary.org,http://www.lakecountylibrary.org,NONE,Amy,Hutchinson,(541) 947-6019,amyh@lakecountylibrary.org,POINT (-120.34701999999999 42.188937),56,28,2370
Oregon OSHA Resource Center,Oregon OSHA Resource Center,,350 Winter St NE Salem OR 97301,350 Winter St NE,Salem,Marion,OR,97301,Special,350 Winter St NE Salem OR 97301,Salem,Marion,OR,97301,1-800-922-2689,(503) 947-7463,osha.resource@state.or.us,http://www.orosha.org/standards/resource_center.html,,Jane,Kirby,(503) 947-7456,jane.s.kirby@state.or.us,POINT (-123.03083800000002 44.94127),21,11,2409
Canby Public Library,Canby Public Library,,220 NE 2nd Ave Canby OR 97013,220 NE 2nd Ave,Canby,Clackamas,OR,97013,Public,220 NE 2nd Ave Canby OR 97013,Canby,Clackamas,OR,97013,(503) 266-3394,(503) 266-1709,CanbyInfo@lincc.org,http://www.canbylibrary.org,LINCC,Irene,Green,(503) 266-0655,greeni@canbyoregon.gov,POINT (-122.691769 45.264098),39,20,2317
Warm Springs Community Library,Warm Springs Community Library,,1144 Warm Springs Street Warm Springs OR 97761,1144 Warm Springs Street,Warm Springs,Jefferson,OR,97761,Tribal,1144 Warm Springs Street PO Box C Warm Springs OR 97761,Warm Springs,Jefferson,OR,97761,541-553-1078,,,http://wslibrary.follettdestiny.com,,Craig,Graham,541-553-1078,craig.graham@wstribes.org,POINT (-121.26919100000002 44.763461),59,30,721
Mount Angel Abbey,Mount Angel Abbey,,1 Abbey Drive Saint Benedict OR 97373-9999,1 Abbey Drive,Saint Benedict,,OR,97373-9999,Academic,,,,,,503-845-3102,503-845-3500,,http://www.mountangelabbey.org/library,,Victoria,Ertalt,,victoria.ertelt@mtangel.edu,POINT (-122.774968 45.05612300000001),18,9,2409
Lane County Law Library,Lane County Law Library,,125 East 8th Avenue Eugene OR 97401,125 East 8th Avenue,Eugene,Lane,OR,97401,Special,125 East 8th Avenue Public Service Building Eugene OR 97401,Eugene,Lane,OR,97401,(541) 682-4337,(541) 682-4315,lclawlib@co.lane.or.us,http://www.lanecounty.org/lawlibrary,,Sue,Ludington,(541) 682-4331,lclawlib@co.lane.or.us,POINT (-123.09044099999998 44.050993),13,7,2371
Adams Public Library,Adams Public Library,,190 North Main Street Adams OR 97810,190 North Main Street,Adams,Umatilla,OR,97810,Public,PO Box 20 Adams OR 97810,Adams,Umatilla,OR,97810,(541) 566-3038,(541) 566-2077,library@cityofadamsoregon.com,http://www.cityofadamsoregon.com,UCSLD,Stephanie,Partida,541-566-3038,library@cityofadamsoregon.com,POINT (-118.563074 45.767369),58,29,2413
Curry Public Library District,Curry Public Library District,,94341 3rd Street Gold Beach OR 97444,94341 3rd Street,Gold Beach,Curry,OR,97444,Public,94341 3rd Street Gold Beach OR 97444,Gold Beach,,OR,97444,(541) 247-7246,(541) 247-4411,currylibrary@cplib.net,http://www.currypubliclibrary.org,NONE,Jeremy,Skinner,541- 247-3452,jeremy@cplib.net,POINT (-124.41558300000001 42.41264),1,1,2321
Bandon Public Library,Bandon Public Library,,1204 11th St SW Bandon  OR 97411,1204 11th St SW,Bandon,Coos,OR,97411,Public,1204 11th St SW Bandon OR 97411,Bandon,,OR,97411,(541) 347-3221,(541) 347-9363,,https://www.cityofbandon.org/general/page/library,CCLSD,Rosalyn,McGarva,(541) 347-3022,rmcgarva@coastlinelibrarynetwork.org,POINT (-124.42974800000002 43.11347),1,1,2320
Umatilla Public Library,Umatilla Public Library,,700 6th St Umatilla OR 97882,700 6th St,Umatilla,Umatilla,OR,97882,Public,PO Box 820 Umatilla OR 97882,Umatilla,,OR,97882,(541) 922-5704,(541) 922-5708,library@umatilla-city.org,http://www.umatillapubliclibrary.weebly.com,UCSLD,Kellie,Lamoreaux,(541) 922-5704,library@umatilla-city.org,POINT (-119.34469300000002 45.917184),57,29,2413
Siuslaw Public Library District - Mapleton Branch Library,Siuslaw Public Library District,Mapleton Branch Library,88148 Riverview Avenue Mapleton OR 97453,88148 Riverview Avenue,Mapleton,Lane County,OR,97453,Public,,,,,,(541) 268-4033,,,,NONE,Kevin,Mittge,(541) 997-3132,mapletonbranch@siuslawlibrary.org,POINT (-123.86251900000002 44.036656),9,5,2371
Confederated Tribes of Grand Ronde Library,Confederated Tribes of Grand Ronde Library,,9615 Grand Ronde Road Grand Ronde OR 97347,9615 Grand Ronde Road,Grand Ronde,Polk,OR,97347,Tribal,9615 Grand Ronde Road Grand Ronde OR 97347,Grand Ronde,Polk,OR,97347,503-879-1488,503 879-2286,Harris.Reibach@grandronde.org,http://www.grandronde.org/departments/education/library/,,Harris,Reibach,503 879-1488,Harris.Reibach@grandronde.org,POINT (-123.611844 45.074677),10,5,723
Lebanon Public Library,Lebanon Public Library,,55 Academy Street Lebanon OR 97355,55 Academy Street,Lebanon,Linn,OR,97355,Public,55 Academy Street Lebanon OR 97355,Lebanon,,OR,97355,(541) 258-4926,,libraryinfo@ci.lebanon.or.us,http://www.ci.lebanon.or.us/library,NONE,Kendra,Antila,(541) 258-4232,kantila@ci.lebanon.or.us,POINT (-122.90830699999998 44.544247000000006),17,9,2407
Multnomah County Library - Hillsdale Library,Multnomah County Library,Hillsdale Library,1525 SW Sunset Blvd. Portland OR 97239,1525 SW Sunset Blvd.,Portland,Multnomah County,OR,97239,Public,,,,,,,,,,NONE,Jay,Hadley,(503)988-4394,jayh@multcolib.org,POINT (-122.694363 45.479687),36,18,2410
Scappoose Public Library,Scappoose Public Library,,52469 SE 2nd St Scappoose OR 97056,52469 SE 2nd St,Scappoose,Columbia,OR,97056,Public,PO Box 400 Scappoose OR 97056,Scappoose,,OR,97056,(503) 543-7123,(503) 543-7161,scappl@scappooselibrary.org,http://www.scappooselibrary.org,NONE,Jeff,Weiss,(503) 543-7123,jweiss@scappooselibrary.org,POINT (-122.876321 45.756581),31,16,2319
Confederated Tribes of Umatilla Library,Confederated Tribes of Umatilla Library,,47106 Wildhorse Blvd. Pendleton OR 97801,47106 Wildhorse Blvd.,Pendleton,Umatilla,OR,97801,Tribal,47106 Wildhorse Blvd. Tamastslikt Cultural Institute Pendleton OR 97801,Pendleton,Umatilla,OR,97801,(541) 429-7721,,malissa.minthorn@tamastslikt.org,http://www.tamastslikt.org,,Malissa,Minthorn-Winks,(541) 429-7721,malissa.minthorn@tamastslikt.org,POINT (-118.664803 45.650663),58,29,2413
Washington County Cooperative Library Services,Washington County Cooperative Library Services,,"111 NE Lincoln St., MS# 58 Hillsboro OR 97124","111 NE Lincoln St., MS# 58",Hillsboro,Washington,OR,97124,Public,"111 NE Lincoln St, MS# 58 Hillsboro OR 97124",Hillsboro,,OR,97124,(503) 846-3222,(503) 846-3220,webmaster@wccls.org,http://www.wccls.org,WCCLS,Lisa,Tattersall,(503) 846-3233,lisat@wccls.org,POINT (-122.989303 45.523946),29,15,724
Gilliam County Public Library,Gilliam County Public Library,,134 S Main Condon OR 97823,134 S Main,Condon,Gilliam,OR,97823,Public,PO Box 34 Condon OR 97823,Condon,Gilliam,OR,97823,(541) 384-6052,(541) 384-6052,gclibrary@co.gilliam.or.us,http://www.co.gilliam.or.us/library.html,NONE,Mary,Reser,(541) 384-6052,mary.reser@co.gilliam.or.us,POINT (-120.184831 45.237483),57,29,2364
