District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,Teacher Experience,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average,College Going,College Going Change from Last Year,College Going Change Value,Oregon College Going Average
2243,Beaverton SD 48J,1314,School of Science & Technology,Andrew Cronk,Grade(s) 9-12,H,Washington,158,20%,19,9%,19%,96%,9,<1,1,27%,100%,No,22.5,Decrease,3,25,84%,Decrease,3%,80%,,,,,,,,,,91%,Increase,4%,85%,100%,Increase,3%,79%,97%,Decrease,3%,85%,91%,Increase,6%,62%
2243,Beaverton SD 48J,1270,Sexton Mountain Elementary School,Cherie Reese,Grade(s) K-5,E,Washington,550,11%,26,12%,19%,94%,28,13,1,15%,90%,No,24,No Change,,25,92%,Decrease,2%,80%,High,70%,Decrease,2%,51%,71%,Increase,4%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,2783,Southridge High School,David Nieslanik,Grade(s) 9-12,H,Washington,1374,28%,48,13%,41%,96%,72,9,5,11%,92%,Yes,27,Decrease,1,25,74%,Decrease,2%,80%,,,,,,,,,,87%,Increase,6%,85%,89%,Increase,1%,79%,91%,Increase,1%,85%,77%,Decrease,6%,62%
2243,Beaverton SD 48J,4712,Springville K-8 School,Robin Kobrowski,Grade(s) K-8,E,Washington,868,20%,32,11%,16%,96%,44,10,1,18%,83%,Yes,27,Decrease,2,25,91%,Decrease,1%,80%,High,74%,No Change,,52%,75%,Increase,2%,41%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,2782,Stoller Middle School,Veronica Galvan,Grade(s) 6-8,M,Washington,1554,19%,45,8%,12%,96%,61,8,3,12%,82%,No,33,Increase,2,25,88%,Decrease,5%,80%,Average,81%,Decrease,4%,54%,74%,Decrease,6%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1188,Sunset High School,John Huelskamp,Grade(s) 9-12,H,Washington,2016,20%,46,11%,16%,97%,92,13,7,8%,91%,Yes,30,No Change,,25,84%,No Change,,80%,,,,,,,,,,96%,No Change,,85%,90%,No Change,,79%,95%,Increase,3%,85%,78%,Increase,2%,62%
2243,Beaverton SD 48J,1176,Terra Linda Elementary School,Christy Batsell,Grade(s) K-5,E,Washington,361,19%,14,17%,38%,91%,22,12,1,21%,96%,Yes,20,No Change,,25,85%,Decrease,>10%,80%,Average,74%,Increase,3%,51%,64%,No Change,,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1177,Vose Elementary School,Monique Wortman-Singleton,Grade(s) K-5,E,Washington,651,61%,12,11%,76%,93%,38,9,1,11%,83%,Yes,26,Decrease,1,25,81%,Decrease,5%,80%,High,51%,Increase,6%,51%,47%,Increase,3%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1178,West Tualatin View Elementary School,Scarlet Valentine,Grade(s) K-5,E,Washington,349,5%,17,19%,15%,94%,23,7,1,19%,92%,Yes,21,No Change,,25,94%,Decrease,>1%,80%,High,78%,Decrease,3%,51%,72%,Decrease,3%,43%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1320,Westview High School,Matthew Pedersen,Grade(s) 9-12,H,Washington,2380,26%,48,12%,26%,97%,106,17,8,12%,85%,No,32,Increase,1,25,76%,Decrease,3%,80%,,,,,,,,,,92%,Increase,6%,85%,91%,Increase,3%,79%,94%,Increase,1%,85%,78%,Increase,2%,62%
2243,Beaverton SD 48J,1185,Whitford Middle School,Brian Peerenboom,Grade(s) 6-8,M,Washington,705,40%,31,14%,55%,94%,40,10,3,17%,90%,Yes,24,Increase,1,25,81%,No Change,,80%,Average,54%,Decrease,4%,54%,47%,Increase,2%,39%,,,,,,,,,,,,,,,,
2243,Beaverton SD 48J,1179,William Walker Elementary School,Melissa Murray,Grade(s) K-5,E,Washington,449,64%,15,15%,>95%,96%,31,11,1,12%,86%,No,24.5,Increase,2,25,85%,Increase,1%,80%,Average,30%,Decrease,9%,51%,28%,Decrease,1%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1324,Amity Creek Elementary School,Andrew Slavin,Grade(s) K-5,E,Deschutes,163,*,2,*,19%,75%,8,3,0,9%,89%,Yes,27,Decrease,1,25,86%,Decrease,6%,80%,Low,61%,Decrease,8%,51%,42%,Decrease,10%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,241,Bear Creek Elementary School,JP Richards,Grade(s) K-5,E,Deschutes,572,35%,6,10%,59%,91%,33,13,0,8%,94%,Yes,22,Increase,1,25,83%,Decrease,2%,80%,Average,48%,Decrease,2%,51%,41%,Decrease,7%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5309,Bend International School,Meera Dayal Rupp,Grade(s) K-8,E,Deschutes,209,6%,4,8%,37%,67%,12,4,0,23%,64%,Yes,24,Increase,2,25,81%,Decrease,9%,80%,Average,69%,Decrease,6%,52%,54%,No Change,,41%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,251,Bend Senior High School,Christopher Reese,Grade(s) 9-12,H,Deschutes,1667,10%,14,12%,31%,93%,72,15,6,7%,93%,Yes,27,No Change,,25,71%,Increase,3%,80%,,,,,,,,,,92%,Decrease,3%,85%,91%,Increase,1%,79%,94%,Increase,2%,85%,67%,No Change,,62%
1976,Bend-LaPine Administrative SD 1,250,Buckingham Elementary School,Kevin Milner,Grade(s) K-5,E,Deschutes,548,6%,9,9%,33%,90%,30,11,0,12%,84%,No,24,Increase,1,25,88%,Increase,1%,80%,Average,66%,Increase,3%,51%,74%,Increase,11%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,Stephan DuVal,Grade(s) 6-8,M,Deschutes,750,7%,9,11%,24%,93%,32,6,3,12%,94%,No,29,Decrease,1,25,84%,Increase,2%,80%,Average,63%,Decrease,9%,54%,49%,Decrease,7%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5384,Desert Sky Montessori,Jodie Borgia,Grade(s) K-4,E,Deschutes,128,*,4,10%,9%,0%,6,4,0,34%,33%,Yes,29,Increase,3,25,80%,Increase,1%,80%,*,,Unavailable,,49%,,Unavailable,,46%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,Kelle Hildebrandt,Grade(s) K-5,E,Deschutes,561,10%,4,7%,44%,92%,30,6,0,12%,90%,Yes,23,Decrease,2,25,85%,Increase,1%,80%,Low,61%,Decrease,1%,51%,54%,Increase,2%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,Dana Pedersen,Grade(s) K-5,E,Deschutes,208,6%,2,13%,>95%,93%,14,3,0,10%,94%,Yes,19,Increase,2,25,79%,Increase,5%,80%,Average,58%,Decrease,3%,51%,47%,Increase,2%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,Wendy McCulloch,Grade(s) 6-8,M,Deschutes,835,19%,10,12%,40%,94%,36,5,3,14%,89%,No,26,Increase,2,25,77%,Decrease,1%,80%,Low,51%,Decrease,3%,54%,34%,Decrease,1%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,Linda Burley,Grade(s) K-5,E,Deschutes,600,<5%,8,6%,8%,90%,27,4,0,10%,89%,Yes,24,No Change,,25,85%,Increase,5%,80%,High,78%,Increase,1%,51%,73%,No Change,,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,Brian Kissell,Grade(s) K-5,E,Deschutes,393,*,4,6%,9%,83%,17,2,0,4%,100%,Yes,26,No Change,,25,93%,No Change,,80%,High,86%,Decrease,3%,51%,86%,Decrease,4%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,Dan Wolnick,Grade(s) K-5,E,Deschutes,492,7%,5,9%,48%,91%,28,9,0,6%,89%,Yes,23,No Change,,25,87%,Increase,3%,80%,Average,71%,Increase,2%,51%,65%,Increase,3%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,Patrick Flanagan,Grade(s) K-5,E,Deschutes,384,*,4,16%,>95%,94%,22,9,0,18%,70%,Yes,20,Decrease,4,25,77%,Increase,1%,80%,Average,41%,Decrease,1%,51%,33%,Decrease,2%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,Robi Phinney,Grade(s) 6-8,M,Deschutes,315,*,6,16%,63%,93%,17,3,1,22%,68%,Yes,26,Decrease,1,25,74%,Decrease,2%,80%,Low,28%,Increase,4%,54%,17%,Decrease,2%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,Matt Montgomery,Grade(s) 9-12,H,Deschutes,406,*,7,21%,58%,95%,19,10,2,10%,96%,Yes,23,Increase,4,25,73%,Decrease,2%,80%,,,,,,,,,,75%,Decrease,2%,85%,77%,Increase,7%,79%,79%,Decrease,5%,85%,46%,No Change,,62%
1976,Bend-LaPine Administrative SD 1,1317,Lava Ridge Elementary School,Gary DeFrang,Grade(s) K-5,E,Deschutes,592,6%,8,8%,30%,93%,31,10,0,10%,94%,Yes,22,Decrease,3,25,88%,Increase,4%,80%,Average,73%,Increase,1%,51%,63%,Increase,5%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,1338,Marshall High School,Sal Cassaro,Grade(s) 9-12,H,Deschutes,132,*,4,33%,>95%,98%,13,4,1,24%,71%,No,9,Decrease,4,25,25%,No Change,,80%,,,,,,,,,,,Unavailable,,85%,45%,Increase,12%,79%,64%,Increase,8%,85%,26%,Decrease,4%,62%
1976,Bend-LaPine Administrative SD 1,252,Mountain View Senior High School,Michael Hicks,Grade(s) 9-12,H,Deschutes,1351,8%,11,12%,34%,95%,57,9,5,11%,85%,No,24,Decrease,2,25,71%,Increase,3%,80%,,,,,,,,,,84%,No Change,,85%,87%,Increase,4%,79%,91%,Decrease,1%,85%,64%,Decrease,2%,62%
1976,Bend-LaPine Administrative SD 1,5292,Pacific Crest Middle School,Lisa Birk,Grade(s) 6-8,M,Deschutes,717,*,10,8%,9%,91%,29,2,3,17%,94%,Yes,33.5,Increase,2,25,80%,Increase,4%,80%,Average,76%,Increase,3%,54%,58%,Decrease,3%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,249,Pilot Butte Middle School,Steve Stancliff,Grade(s) 6-8,M,Deschutes,673,10%,7,15%,52%,91%,32,7,2,10%,94%,Yes,27,Increase,1,25,72%,Decrease,2%,80%,Average,59%,Decrease,4%,54%,45%,Decrease,2%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3947,Pine Ridge Elementary,Rochelle Williams,Grade(s) K-5,E,Deschutes,514,6%,10,8%,25%,86%,26,7,0,8%,96%,Yes,23,No Change,,25,85%,Decrease,3%,80%,High,75%,Increase,6%,51%,70%,Increase,4%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4646,Ponderosa Elementary,Stephen Austin,Grade(s) K-5,E,Deschutes,578,5%,4,9%,32%,94%,30,10,0,8%,97%,Yes,23.5,No Change,,25,88%,Increase,3%,80%,High,60%,No Change,,51%,56%,No Change,,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,247,R E Jewell Elementary School,Scott Edmondson,Grade(s) K-5,E,Deschutes,544,15%,5,9%,42%,94%,29,7,<1,11%,90%,Yes,23,Decrease,1,25,86%,No Change,,80%,Average,54%,Decrease,5%,51%,44%,Decrease,6%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5428,Realms High School,Roger White,Grade(s) 9-10,H,Deschutes,83,*,2,30%,28%,80%,5,<1,0,-1,71%,Yes,27,New School,,25,68%,New School,,80%,,,,,,,,,,84%,New School,,85%,,Unavailable,,,*,Unavailable,,,,Unavailable,,
1976,Bend-LaPine Administrative SD 1,3448,Realms Middle School,Dirk Matthias,Grade(s) 6-8,M,Deschutes,147,*,3,14%,16%,77%,9,1,0,8%,83%,No,25,No Change,,25,89%,Increase,9%,80%,Average,79%,Decrease,3%,54%,61%,Increase,2%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4793,Rosland Elementary,Julie Linhares,Grade(s) K-5,E,Deschutes,198,*,4,13%,>95%,93%,12,3,0,15%,73%,No,22,Decrease,2,25,79%,Decrease,4%,80%,High,53%,Decrease,1%,51%,44%,Decrease,4%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5293,Silver Rail Elementary School,Tammy Doty,Grade(s) K-5,E,Deschutes,488,11%,7,14%,42%,91%,27,5,0,17%,82%,Yes,22.5,Decrease,2,25,82%,Decrease,3%,80%,High,61%,Decrease,3%,51%,52%,Decrease,5%,43%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3217,Sky View Middle School,Scott Olszewski,Grade(s) 6-8,M,Deschutes,680,6%,7,11%,30%,94%,29,7,2,10%,94%,Yes,28,No Change,,25,82%,Increase,1%,80%,High,65%,Increase,25%,54%,48%,Increase,10%,39%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,5429,Skyline High School,Michael Franklin,Grade(s) 9-10,H,Deschutes,79,*,2,*,16%,84%,4,0,0,-1,100%,Yes,22.5,New School,,25,46%,New School,,80%,,,,,,,,,,76%,New School,,85%,,Unavailable,,,*,Unavailable,,,,Unavailable,,
1976,Bend-LaPine Administrative SD 1,3216,Summit High School,Michael McDonald,Grade(s) 9-12,H,Deschutes,1523,<5%,15,8%,13%,93%,58,7,5,10%,86%,No,24,Decrease,3,25,78%,Increase,12%,80%,,,,,,,,,,96%,Increase,>2%,85%,92%,Increase,1%,79%,95%,Increase,1%,85%,79%,Increase,3%,62%
1976,Bend-LaPine Administrative SD 1,1266,Three Rivers Elementary School,Tim Broadbent,Grade(s) K-8,E,Deschutes,428,*,2,10%,39%,87%,21,3,0,10%,87%,Yes,25,Increase,1,25,80%,Decrease,1%,80%,High,69%,Increase,1%,52%,54%,Decrease,1%,41%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,3221,Westside Village Magnet School at Kingston Elementary School,Wendy Winchel,Grade(s) K-8,E,Deschutes,260,*,3,16%,39%,72%,15,4,0,6%,94%,Yes,21,Decrease,43,25,78%,Decrease,7%,80%,Average,54%,Decrease,9%,52%,43%,Increase,11%,41%,,,,,,,,,,,,,,,,
1976,Bend-LaPine Administrative SD 1,4680,William E Miller Elementary,Jen Healy,Grade(s) K-5,E,Deschutes,626,*,7,6%,11%,90%,29,7,0,9%,84%,Yes,26,No Change,,25,86%,Increase,4%,80%,High,82%,Increase,1%,51%,81%,Increase,6%,43%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,581,Cascade Middle School,Ry Robinson,Grade(s) 6-8,M,Lane,330,13%,4,23%,>95%,97%,17,6,1,8%,76%,Yes,25,Decrease,1,25,83%,Decrease,1%,80%,High,56%,No Change,,54%,39%,Decrease,6%,39%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,582,Clear Lake Elementary School,Karyn Bayer,Grade(s) K-5,E,Lane,250,*,2,21%,>95%,96%,13,10,<1,24%,79%,Yes,26,Decrease,2,25,82%,Decrease,1%,80%,Average,39%,Increase,2%,51%,23%,Decrease,8%,43%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,583,Danebo Elementary School,Mari Ford,Grade(s) K-5,E,Lane,294,21%,7,29%,>95%,97%,16,18,0,5%,100%,Yes,26,Decrease,2,25,82%,Decrease,4%,80%,Low,41%,Increase,2%,51%,22%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,584,Fairfield Elementary School,Jenny Sink,Grade(s) K-5,E,Lane,405,14%,3,19%,>95%,95%,18,12,1,12%,75%,Yes,32,Increase,4,25,90%,Increase,4%,80%,Low,35%,Decrease,4%,51%,23%,Increase,1%,43%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,585,Irving Elementary School,Nathan Bridgens,Grade(s) K-5,E,Lane,338,*,3,17%,35%,99%,18,9,<1,19%,75%,Yes,23,Decrease,2,25,92%,Increase,5%,80%,Average,56%,Decrease,9%,51%,46%,Decrease,12%,43%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,3566,Kalapuya High School,Stefan Aumack,Grade(s) 9-12,H,Lane,108,*,2,31%,>95%,100%,9,3,1,17%,90%,No,14,Increase,2,25,65%,Increase,4%,80%,,,,,,,,,,,Unavailable,,85%,25%,Increase,7%,79%,49%,Increase,1%,85%,4%,Decrease,>6%,62%
2088,Bethel SD 52,586,Malabon Elementary School,Maureen Spence,Grade(s) K-5,E,Lane,410,15%,5,21%,>95%,97%,20,11,<1,11%,73%,Yes,25,No Change,,25,86%,Increase,5%,80%,Low,42%,Increase,1%,51%,23%,Decrease,5%,43%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,2264,Meadow View School,Erika Case,Grade(s) K-8,E,Lane,797,<5%,4,13%,39%,97%,34,12,1,9%,83%,Yes,29,Decrease,1,25,89%,Increase,1%,80%,Average,55%,Decrease,3%,52%,44%,Decrease,3%,41%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,3567,Prairie Mountain School,Jill Robinson-Wolgamott,Grade(s) K-8,E,Lane,667,26%,8,16%,62%,98%,32,22,1,14%,78%,No,28,Increase,1,25,92%,Increase,3%,80%,Average,46%,Increase,1%,52%,37%,Decrease,3%,41%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,587,Shasta Middle School,Brady Cottle,Grade(s) 6-8,M,Lane,416,6%,2,22%,53%,97%,17,12,1,16%,82%,Yes,27,Decrease,5,25,84%,Decrease,2%,80%,Average,51%,Increase,1%,54%,37%,Increase,4%,39%,,,,,,,,,,,,,,,,
2088,Bethel SD 52,588,Willamette High School,Dan Hedberg,Grade(s) 9-12,H,Lane,1381,13%,13,17%,43%,98%,60,9,4,7%,85%,Yes,27,No Change,,25,94%,Increase,9%,80%,,,,,,,,,,85%,Increase,10%,85%,75%,Decrease,4%,79%,86%,Increase,1%,85%,58%,No Change,,62%
2095,Blachly SD 90,3401,Triangle Lake Charter School,Rilke Klingsporn,Grade(s) K-12,H,Lane,227,*,1,25%,57%,80%,17,5,<1,6%,94%,No,16.5,Increase,3,25,78%,Decrease,6%,80%,,,,,,,,,,86%,Decrease,6%,85%,69%,No Change,,79%,81%,Decrease,19%,85%,55%,Increase,26%,62%
2052,Black Butte SD 41,428,Black Butte Elementary School,Delaney Sharp,Grade(s) K-8,E,Jefferson,26,*,2,*,65%,79%,3,<1,0,7%,75%,Yes,13,Decrease,13,25,85%,Decrease,3%,80%,High,67%,Decrease,10%,52%,40%,Decrease,7%,41%,,,,,,,,,,,,,,,,
1974,Brookings-Harbor SD 17C,235,Azalea Middle School,Nicole Medrano,Grade(s) 6-8,M,Curry,340,<5%,3,20%,50%,88%,19,7,1,26%,68%,Yes,23,No Change,,25,76%,Increase,1%,80%,Low,41%,Decrease,4%,54%,17%,Decrease,5%,39%,,,,,,,,,,,,,,,,
1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,DeAnne Varitek,Grade(s) 9-12,H,Curry,469,5%,5,13%,46%,86%,28,8,2,19%,81%,Yes,20.5,Increase,1,25,55%,Increase,8%,80%,,,,,,,,,,91%,Decrease,2%,85%,74%,Decrease,3%,79%,81%,Increase,5%,85%,59%,Increase,5%,62%
1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,Helena Chirinian,Grade(s) K-5,E,Curry,722,5%,4,16%,>95%,91%,36,20,1,17%,69%,Yes,23,Decrease,1,25,78%,Increase,8%,80%,Average,44%,Decrease,4%,51%,33%,Decrease,2%,43%,,,,,,,,,,,,,,,,
1896,Burnt River SD 30J,3347,Burnt River School,Lorrie Andrews,Grade(s) K-12,H,Baker,50,*,8,20%,26%,78%,5,0,0,21%,80%,No,11,Decrease,2,25,76%,Decrease,6%,80%,,,,,,,,,,,Unavailable,,85%,71%,Decrease,9%,79%,83%,Decrease,17%,85%,,Unavailable,,62%
2046,Butte Falls SD 91,406,Butte Falls Charter School,Dianne Gorman,Grade(s) K-12,H,Jackson,225,*,1,26%,>95%,92%,16,6,0,22%,87%,Yes,11,Decrease,2,25,70%,Increase,7%,80%,,,,,,,,,,68%,Increase,3%,85%,75%,Decrease,2%,79%,83%,Increase,8%,85%,77%,Increase,46%,62%
1995,Camas Valley SD 21J,3400,Camas Valley School,Donald Wonsley,Grade(s) K-12,H,Douglas,207,*,1,18%,57%,85%,17,6,0,9%,81%,No,15,No Change,,25,90%,Decrease,>5%,80%,,,,,,,,,,40%,Decrease,22%,85%,71%,Decrease,14%,79%,93%,Increase,11%,85%,46%,Increase,7%,62%
1929,Canby SD 86,4434,Baker Prairie Middle School,Jennifer Turner,Grade(s) 7-8,M,Clackamas,604,29%,8,11%,49%,97%,28,7,1,17%,79%,Yes,29,Increase,1,25,77%,Decrease,1%,80%,Low,39%,Decrease,9%,55%,30%,Decrease,6%,40%,,,,,,,,,,,,,,,,
1929,Canby SD 86,140,Canby High School,Greg Dinse,Grade(s) 9-12,H,Clackamas,1331,26%,10,13%,40%,95%,68,16,3,8%,90%,Yes,25,No Change,,25,77%,No Change,,80%,,,,,,,,,,87%,Increase,4%,85%,87%,Decrease,2%,79%,92%,Decrease,2%,85%,65%,Increase,1%,62%
1929,Canby SD 86,92,Carus School,Sam Thompson,Grade(s) K-6,E,Clackamas,470,12%,6,13%,46%,94%,23,5,1,10%,85%,Yes,26,Increase,1,25,83%,No Change,,80%,Low,41%,Decrease,8%,51%,38%,Increase,1%,42%,,,,,,,,,,,,,,,,
1929,Canby SD 86,1307,Cecile Trost Elementary School,Angie Navarro,Grade(s) K-6,E,Clackamas,414,56%,5,11%,68%,97%,26,7,1,13%,80%,Yes,21.5,No Change,,25,85%,Decrease,3%,80%,Average,37%,Increase,3%,51%,18%,Increase,2%,42%,,,,,,,,,,,,,,,,
1929,Canby SD 86,124,Howard Eccles Elementary School,Andy McKean,Grade(s) K-6,E,Clackamas,459,12%,3,10%,34%,95%,24,6,1,10%,92%,Yes,24,Increase,1,25,86%,Decrease,5%,80%,High,68%,Increase,1%,51%,62%,Decrease,8%,42%,,,,,,,,,,,,,,,,
1929,Canby SD 86,127,Ninety-One School,Skyler Rodolph,Grade(s) K-8,E,Clackamas,482,15%,5,10%,34%,87%,24,3,1,10%,89%,Yes,26,Increase,2,25,82%,Decrease,2%,80%,High,63%,Decrease,1%,52%,54%,Decrease,1%,41%,,,,,,,,,,,,,,,,
1929,Canby SD 86,4435,Philander Lee Elementary School,Cherie Switzer,Grade(s) K-6,E,Clackamas,427,28%,4,14%,47%,95%,24,9,1,17%,81%,Yes,23,Decrease,1,25,85%,Decrease,1%,80%,High,49%,Decrease,5%,51%,44%,Decrease,8%,42%,,,,,,,,,,,,,,,,
1929,Canby SD 86,122,William Knight Elementary School,Christine Taylor,Grade(s) K-6,E,Clackamas,362,15%,3,17%,52%,95%,21,12,1,4%,91%,Yes,24,No Change,,25,80%,Decrease,4%,80%,Average,52%,Decrease,1%,51%,52%,Increase,6%,42%,,,,,,,,,,,,,,,,
2139,Cascade SD 5,719,Aumsville Elementary School,Cyndi Ganfield,Grade(s) K-5,E,Marion,584,9%,6,19%,55%,94%,31,25,2,19%,65%,Yes,22,Decrease,3,25,87%,Increase,2%,80%,Average,48%,Increase,5%,51%,32%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2139,Cascade SD 5,810,Cascade Junior High School,Pete Rasmussen,Grade(s) 6-8,M,Marion,559,11%,8,17%,45%,94%,30,10,1,20%,70%,Yes,24,No Change,,25,80%,Decrease,1%,80%,High,65%,No Change,,54%,45%,Decrease,1%,39%,,,,,,,,,,,,,,,,
2139,Cascade SD 5,5380,Cascade Opportunity Center,Marie Thompson,Grade(s) 9-12,H,Marion,80,*,2,13%,73%,99%,2,<1,0,100%,67%,Yes,3,Decrease,14,25,33%,Increase,2%,80%,,,,,,,,,,,Unavailable,,85%,50%,Unavailable,,79%,*,Unavailable,,85%,,Unavailable,,
2139,Cascade SD 5,811,Cascade Senior High School,Matt Thatcher,Grade(s) 9-12,H,Marion,662,10%,9,12%,40%,96%,38,8,2,7%,86%,Yes,21,Increase,1,25,78%,Increase,1%,80%,,,,,,,,,,96%,No Change,,85%,93%,Increase,3%,79%,93%,Increase,2%,85%,55%,Decrease,9%,62%
2139,Cascade SD 5,806,Cloverdale Elementary School,Bryan Dyer,Grade(s) K-5,E,Marion,172,*,2,16%,27%,94%,9,3,<1,18%,91%,No,27,Increase,7,25,87%,Decrease,6%,80%,Average,55%,Decrease,7%,51%,46%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2139,Cascade SD 5,790,Turner Elementary School,Dan Petersen,Grade(s) K-5,E,Marion,314,6%,4,17%,33%,93%,16,9,1,15%,89%,Yes,23,Decrease,3,25,90%,Increase,4%,80%,High,57%,Decrease,4%,51%,56%,Increase,10%,43%,,,,,,,,,,,,,,,,
2185,Centennial SD 28J,3649,Butler Creek Elementary School,Laura Fendall,Grade(s) K-6,E,Multnomah,563,32%,24,11%,43%,89%,26,7,0,6%,92%,No,28,No Change,,25,86%,Increase,3%,80%,High,56%,Increase,1%,51%,45%,Decrease,4%,42%,,,,,,,,,,,,,,,,
2185,Centennial SD 28J,967,Centennial High School,Mairi Scott Aguirre,Grade(s) 9-12,H,Multnomah,1626,44%,44,10%,56%,94%,68,19,5,6%,82%,Yes,28,Increase,1,25,65%,Increase,3%,80%,,,,,,,,,,89%,Increase,5%,85%,84%,No Change,,79%,91%,Increase,3%,85%,59%,Decrease,4%,62%
2185,Centennial SD 28J,960,Centennial Middle School,Johanna Castillo,Grade(s) 7-8,M,Multnomah,902,43%,31,13%,61%,92%,45,14,2,5%,91%,Yes,26,Decrease,2,25,75%,Increase,1%,80%,High,49%,Decrease,4%,55%,38%,Decrease,7%,40%,,,,,,,,,,,,,,,,
2185,Centennial SD 28J,1367,Centennial Park School,Candice Vickers,Grade(s) 7-12,H,Multnomah,127,29%,6,24%,72%,98%,14,6,1,9%,87%,Yes,13,Decrease,1,25,17%,Decrease,6%,80%,,,,,,,,,,31%,Unavailable,,85%,20%,Decrease,8%,79%,52%,Increase,11%,85%,44%,Decrease,6%,62%
2185,Centennial SD 28J,959,Meadows Elementary,Lisa Clingan,Grade(s) K-6,E,Multnomah,400,42%,23,15%,69%,94%,21,6,1,9%,96%,Yes,26,Decrease,1,25,73%,Decrease,4%,80%,Average,29%,Decrease,1%,51%,21%,Decrease,3%,42%,,,,,,,,,,,,,,,,
